visitedPages;relevantPages;ratio
10;4;0,4
20;14;0,7
30;23;0,76666666666667
40;23;0,575
50;24;0,48
60;33;0,55
70;39;0,55714285714286
80;39;0,4875
90;39;0,43333333333333
100;39;0,39
110;39;0,35454545454545
120;39;0,325
130;39;0,3
140;39;0,27857142857143
150;41;0,27333333333333
160;41;0,25625
170;41;0,24117647058824
180;41;0,22777777777778
190;41;0,21578947368421
200;41;0,205
210;41;0,1952380952381
220;41;0,18636363636364
230;41;0,17826086956522
240;41;0,17083333333333
250;41;0,164
260;41;0,15769230769231
270;41;0,15185185185185
280;41;0,14642857142857
290;41;0,14137931034483
300;41;0,13666666666667
310;41;0,13225806451613
320;41;0,128125
330;42;0,12727272727273
340;43;0,12647058823529
350;44;0,12571428571429
360;54;0,15
370;59;0,15945945945946
380;62;0,16315789473684
390;66;0,16923076923077
400;72;0,18
410;77;0,18780487804878
420;81;0,19285714285714
430;88;0,2046511627907
440;98;0,22272727272727
450;108;0,24
460;115;0,25
470;117;0,24893617021277
480;124;0,25833333333333
490;129;0,26326530612245
500;134;0,268
