visitedPages;relevantPages;ratio
10;1;0,1
20;1;0,05
30;1;0,033333333333333
40;1;0,025
50;1;0,02
60;1;0,016666666666667
70;1;0,014285714285714
80;2;0,025
90;2;0,022222222222222
100;2;0,02
110;2;0,018181818181818
120;2;0,016666666666667
130;2;0,015384615384615
140;2;0,014285714285714
150;2;0,013333333333333
160;2;0,0125
170;2;0,011764705882353
180;2;0,011111111111111
190;2;0,010526315789474
200;2;0,01
210;2;0,0095238095238095
220;2;0,0090909090909091
230;2;0,008695652173913
240;2;0,0083333333333333
250;2;0,008
260;2;0,0076923076923077
270;2;0,0074074074074074
280;2;0,0071428571428571
290;2;0,0068965517241379
300;2;0,0066666666666667
310;2;0,0064516129032258
320;2;0,00625
330;2;0,0060606060606061
340;2;0,0058823529411765
350;2;0,0057142857142857
360;2;0,0055555555555556
370;2;0,0054054054054054
380;2;0,0052631578947368
390;2;0,0051282051282051
400;2;0,005
410;2;0,0048780487804878
420;2;0,0047619047619048
430;2;0,0046511627906977
440;2;0,0045454545454545
450;2;0,0044444444444444
460;2;0,0043478260869565
470;2;0,0042553191489362
480;2;0,0041666666666667
490;2;0,0040816326530612
500;2;0,004
