visitedPages,relevantPages,ratio
10,1,0.1
20,1,0.05
30,1,0.033333333333333
40,1,0.025
50,1,0.02
60,1,0.016666666666667
70,1,0.014285714285714
80,1,0.0125
90,1,0.011111111111111
100,1,0.01
110,1,0.0090909090909091
120,1,0.0083333333333333
130,8,0.061538461538462
140,15,0.10714285714286
150,21,0.14
160,30,0.1875
170,35,0.20588235294118
180,42,0.23333333333333
190,47,0.24736842105263
200,57,0.285
210,65,0.30952380952381
220,69,0.31363636363636
230,72,0.31304347826087
