visitedPages;relevantPages;ratio
10;1;0,1
20;1;0,05
30;1;0,033333333333333
40;1;0,025
50;1;0,02
60;1;0,016666666666667
70;1;0,014285714285714
80;1;0,0125
90;1;0,011111111111111
100;1;0,01
110;1;0,0090909090909091
120;1;0,0083333333333333
130;9;0,069230769230769
140;16;0,11428571428571
150;22;0,14666666666667
160;30;0,1875
170;36;0,21176470588235
180;43;0,23888888888889
190;49;0,25789473684211
200;56;0,28
210;62;0,2952380952381
220;70;0,31818181818182
230;70;0,30434782608696
240;73;0,30416666666667
250;77;0,308
260;83;0,31923076923077
270;91;0,33703703703704
280;98;0,35
290;104;0,35862068965517
300;112;0,37333333333333
310;116;0,3741935483871
320;117;0,365625
330;123;0,37272727272727
340;128;0,37647058823529
350;133;0,38
360;136;0,37777777777778
370;139;0,37567567567568
380;139;0,36578947368421
390;143;0,36666666666667
400;148;0,37
410;154;0,37560975609756
420;161;0,38333333333333
430;171;0,39767441860465
440;177;0,40227272727273
450;184;0,40888888888889
460;192;0,41739130434783
470;195;0,41489361702128
480;203;0,42291666666667
490;208;0,42448979591837
500;217;0,434
